projectName,projectId,roundType,roundDate,raiseAmount,sourcEuropean UnionRL,
IQ,8gkezm,Preseed,7/1/2015,0.32,,"Chandler Nichols, David Petersen, David Segura, Kami Parsa"
IQ,8gkezm,Series A,6/1/2018,30,https://fortune.com/crypto/2018/02/08/blockchain-everipedia/,"DNA, Galaxy Digital, KrowdMentor, Wave, Mucker"
Irys,tjyvc7,Seed,5/1/2022,5.2,https://www.prnewswire.com/news-releases/bundlr-network-raises-a-5-2-million-seed-round-to-build-an-easier-faster-way-to-store-data-on-Web3 Capital--301539755.html,"Arweave, Framework, Hypersphere, Kearny Jackson, OpenSea, Permanent, Race"
Jasmine,bwhoon,Seed,9/1/2022,2,,"Cerulean, Climate, Collab+Currency, Factor, Focal, GSR, Palrecha, UpHonest, WorldQuant"
Jiritsu,j68t8z,Series A,9/1/2023,10.2,https://www.prnewswire.com/news-releases/jiritsu-raises-10-2-million-in-funding-to-revolutionize-verifiable-compute-301934115.html,"Comma3, Eterna, Kestrel, Republic, Susquehanna, Tokentus, AGE Crypto, gumi Cryptos, Lingfeng, Polymorphic, Saxon, Shima, KittyHawk, Serafund"
Jur,y5mzyr,Preseed,12/1/2020,2,https://jur.io/blog/jur-market-report-0/,"Draper Associates, MDR LAB, Scytale, Steve Ebsworth, Fenbushi"
Kandola,8y4g79,Preseed,4/1/2022,0.45,https://www.businesswireindia.com/blockchain-startup-kandola-raises-usd-450k-in-a-pre-seed-round-funding-led-by-arcanum-capital-alphawave-global-and-polygons-sandeep-nailwal-78135.html,"Alpha Wave, Arcanum, Ascent, BKex Labs, Cogitent, Harsh Rajat, Kenzi Wang, Mayur Relekar, Sandeep Nailwal"
Karrier One,j9n1l6,Seed,2/1/2023,1.46,https://www.businesswire.com/news/home/20230405005336/en/,"RounD1Ventures3, Lontra, Escape Velocity"
Karrier One,j9n1l6,Seed,1/1/2024,1.5,https://www.finsmes.com/2024/01/depin-and-dewi-come-to-sui-in-groundbreaking-karrier-one-partnership-upcoming-token-launch.html,Sui Foundation
Kilt,bcanxl,Seed,1/1/2022,,,"Aza, Blue7, Crypto Dorm, Cypher, Follow [the] Seed, Hodl, Illuminati, Infinity, LBank Labs, Newtribe, Primeblock, Ringier, Scytale, VBC, Alves, Blockstar Technologies, CryptoViet, MoonBoots, Pnyx, TGE"
Koii,xfjtib,Seed,3/1/2021,1.21,,"Tess Ventures, 4ward, Aza, Bison, CaptureAlpha, CSP, Cyberight, DoublePeak, Ellipti, Fenbushi, Maven 11, Monday, Qwerty, Sanctor, SevenX, Waterdrip"
Kosen,6b3lxu,Seed,11/1/2021,5,https://medium.com/kosenlabs/kosen-labs-founded-by-ex-deepmind-researchers-aims-to-bring-the-benefits-of-advanced-ai-to-the-c8ae04119759,"a16z, Daedalus, Formless, Framework, Protocol Labs"
Kryptview,3zopno,Preseed,4/1/2022,1.5,https://www.finsmes.com/2023/04/kryptview-raises-1-5m-pre-seed-funding.html,"Binance, Bitpanda, Bpifrance, Defi Research Institute, GSR, KuCoin, Matters, Serafund, Smart-Chain, The Blox"
Kwil,9xue69,Seed,9/1/2022,8.9,https://www.accesswire.com/718966/Decentralized-Database-Platform-Kwil-Raises-89M-Seed-Round,"SevenX, 4 Seasons, AlleyCorp, Amplify, Arweave, Blockchange, Chainlink Labs, Compute, DCG, FJ Labs, Foresight, Formless, Genblock, HANSAINVEST, Mask Network, Moonshot Research, NGC, NxGen xyz, Space and Time"
KYVE,u6mo76,Preseed,6/1/2021,1,,"4 Seasons, Bering Waters, Christian Stroh, Cosmos, D1Ventures, Emanuel Ferm, Farid Rached, Hypersphere, Ignite, Kaiser Permanente, Kenneth Ng, Lemniscap, lllia Polosukhin, Mark HEuropean Unions, Mechanism, Scott Moore, Tate Berenbaum, Volt"
KYVE,u6mo76,Seed,10/1/2021,2.88,https://www.coindesk.com/tech/2021/10/26/data-pipeline-protocol-kyve-raises-28m-from-industry-insiders/,"Alex Shevchenko, Arweave, Avalanche, Aventures, CMS, Coinbase, Composable (Financial Software), Compute, Distributed Global, Erik Erik, Flori, Ganesh Swami, Interchain, Justin Kan, NEAR, O(1) Labs, Octopus, Permanent, PureStake, Robin Chan, Santiago Santos, Solana, Ternary, Volt, Zee Prime"
KYVE,u6mo76,Series A,6/1/2022,9,https://www.theblock.co/post/154836/kyve-network-hits-100-million-valuation-as-it-raises-9-million,"Blockchain Coinvestors, Cerulean, Hash#CIB, Huobi, IOSG, MEXC, Wicklow, Anagram"
Lavita.AI,tylsdp,Seed,5/1/2023,5,https://www.businesswire.com/news/home/202305 Ventures10005446/en/Lavita-AI-Raises-5M-Seed-Financing-to-Launch-the-First-Patient-Driven-Health-Information-Marketplace-to-Accelerate-Life-Sciences-Innovation,DHVC
Lighthouse,24l8zf,Seed,10/1/2022,7,https://www.coindesk.com/business/2022/05/12/lighthouse-raises-7m-to-be-the-search-engine-of-the-metaverse/,"Balaji Srinivasan, Hash#CIB, NGC, Protocol Labs, Accel, BlockTower, Animoca, White Star, Gemini Frontier, LongHash"
Livepeer,0dpzm4,Series A,6/1/2017,8,https://techcrunch.com/2019/06/17/decentralized-video-infrastructure-platform-livepeer-raises-8m-series-a/,"Northzone, DCG, Libertus, Collaborative, Notation, Compound, North Island, StakeZero, Benjamin Crane, Ben Rubin, CoinFund, Haivision Systems, Tian He"
Livepeer,0dpzm4,Series B,7/1/2021,20,https://www.coindesk.com/business/2021/07/29/decentralized-video-protocol-livepeer-raises-20m-to-take-on-streaming-giants/,"DCG, Coinbase, CoinFund, Northzone, 6th Man, Visary, Warburg Serres"
Livepeer,0dpzm4,Series B,1/1/2022,20,,"Alan Howard, Tiger Global, 0, 1kx, BoxGroup, Charge, Chris Hobcroft, Collab+Currency, Knickerbocker, Moonwhale, Multicoin, Pantera"
Lunyr,74rmzw,Preseed,1/1/2017,1.25,https://cointelegraph.com/press-releases/lunyr-crowdsale-successfully-exceeds-minimum-target,Dominic Donofrio
MaidSafeCoin,ubmhxr,Preseed,2/1/2015,,,"Atopia, BitAngels, Dima Starodubcev, Jafer Makki, Marc Brands, Mark Ranford, Master"
Manta,m3djiu,Preseed,2/1/2021,1.1,https://cointelegraph.com/news/manta-aims-to-bring-a-private-decentralized-exchange-to-polkadot-with-1-1m-raise,"Advanced Blockchain, AU21, BTC, CoinFund, DeFiance, Etienne vantKruys, Genblock, Hypersphere, Illusionist, Multicoin, Origin, Polychain, Rarestone, Three Arrows"
Manta,m3djiu,Seed,10/1/2021,5.5,https://cointelegraph.com/news/polkadot-based-privacy-project-manta-network-raises-5-5m,"ArkStream, Assembly, CMS, Digital Finance, Divergence, Kosmos, LongHash, ParaFi, Sanctor, SkyVision, SNZ, Spartan, Web3 Capital, Zee Prime"
Manta,m3djiu,Series A,7/1/2023,25,https://cointelegraph.com/news/manta-network-developer-raises-25m-in-series-a-launches-layer-2-for-zk-apps,"a41, Binance, Moonrock, Primeblock, Redline, Qiming, SevenX, Pnyx"
Massive,s4glrh,Seed,11/1/2021,11,https://www.prnewswire.com/news-releases/massive-raises-11-million-in-seed-funding-from-point72-ventures-to-bring-a-new-business-model-to-the-internet-301434259.html,"6ixth Event, Arjun Anand, BlockTower, Coinbase, CoinShares, Constantino Voulgaris, Daniel Mathon, Hustle, Karim Varela, Kenneth Johansen, Kraken, Kurt Bilafer, Michael Tanney, Microsoft, Mozilla, Nvidia, Packy McCormick, Pieter Van Eck, Point72, Prabhakar Reddy, Raaid Hossain, Ruigang Wu, Ryan Selkis, Sanat Rao, Sriram Krishnan, Trousdale, Xoogler, LAUNCH"
Mawari,ygaj99,Seed,2/1/2023,6.5,https://www.businesswire.com/news/home/20230207006196/en/Mawari-Raises-6.5-Million-in-Oversubscribed-Seed-Round-To-Build-a-Decentralized-XR-Streaming-Network,"Accord, Anfield, Blockchange, Primal, Super, Abies, Decasonic, Outlier, Revolution Tech, Adways"
MemoLabs,8ul10b,Seed,6/1/2021,,,"Commando, DHVC, Finture, Hash Global, Hashkey"
Menthol,b9egeq,Preseed,4/1/2022,1.25,,"LD, Moonrock, Republic Bank of Chicago"
MetaGravity,jvfvyy,Seed,4/1/2023,9.5,https://tech.European Union/2023/04/21/metagravity-do-something-amazing/,"Agrippa, Cogitent, Ex-Capital, K5, MoonPay, Mulana, Pancasila, Perridon, PG, Ryze Labs, Spartan, Gravity, Market One"
MobiFi,ars9qg,Seed,9/1/2021,2.8,https://siliconcanals.com/news/startups/mobifi-raises-2-36m/,Phoenix.io
Modal,xegpzk,Seed,4/1/2022,7,https://techcrunch.com/2023/10/10/modal-labs-lands-16m-to-abstract-away-big-data-workload-infrastructure/,"Amplify, Arjun Narayan, Barry McCardel, Boris Jabes, Bucky Moore, Christopher R̩, Creandum, Elad Gil, Essence Venture, Lindsay Pettingill, Neha Narkhede, Quiet, Tristan Handy"
Modal,xegpzk,Series A,10/1/2023,16,https://techcrunch.com/2023/10/10/modal-labs-lands-16m-to-abstract-away-big-data-workload-infrastructure/,"Allison Pickens, Barr Moses, Benn Stancil, Definition, Eastlink, Firestreak, Gaingels, Howard University, Jeff Hammerbacher, Jordan Tigani, Karim Atiyeh, Leigh Braswell, Lux, Redpoint, Ry Walker, Tejas Manohar, Zero Prime"
Modulus,93up2s,Seed,7/1/2023,6.3,https://www.theblock.co/post/260335/modulus-raises-6-3-million-to-bring-crypto-security-to-ai,"1kx, Alliance, Bankless, Blockchain Builders, FloodGate.io, Global Coin Research, Inflection, Stanford Blockchain Club"
Moflix,u35fhl,Seed,11/1/2023,3.1,,Hashgraph
Mogul,129mdn,Seed,11/1/2023,3.6,https://techcrunch.com/2023/11/08/mogul-club-raises-3-6m-toward-its-effort-to-make-real-estate-investing-more-accessible/,"Anitha Vadavatha, Avalanche, Draper Associates, Draper B1, Draper Dragon, InterVest, Rosa Rios, Stacie Olivares"
myMessage,1rcuf0,Seed,12/1/2021,2.1,https://finance.yahoo.com/news/mymessage-raises-2-1-million-185500210.html,"AU21, Avalon Wealth, Basics, BSCStation, D21, DeltaHub, Dreamboat, Exnetwork, Gains Associates, Infinity, Kenzo Labs, Magnus, Oddiyana, Onebit, Regain, RR2, Rubin, VBC, Vespertine, X21, ZBS"
Myna,wqoxyk,Seed,9/1/2022,6,https://www.theblock.co/post/175248/nfl-superstars-back-coolkicks-founders-6-million-raise-for-collectible-trading-platform,"AAF, Avalanche, Avalanche, BluePointe, CitizenX, Coolclicks, Eileses, K5, Kyler Murray, Madison Paige, Odell Beckham, Polygon, Quality Control, Spartan, Wave"
NEuropean UnionralAgent,8deftt,Accelerator,10/1/2021,,,European Unionropean Space Agency
NEuropean Unionrosity,6bppe0,Preseed,2/1/2019,0.15,,Quake
NEuropean Unionrosity,6bppe0,Seed,7/1/2019,4.98,,"Boost, Founders, Inc, Hatcher+, Joyance, Myelin"
NEuropean Uniontroon,uktna7,Preseed,10/1/2021,0.5,https://www.sharedaccess.com/2021/10/12/boost-private-5g/,"EvoNexus, Ferrovial, Jordi Vallejo, Shared Access, Cel-Fi, 5G, Oriol Relats"
Nevermined,4rizhn,Seed,7/1/2022,3.09,https://www.businesswire.com/news/home/20220712005503/en/Nevermined-Raises-%E2%82%AC3-Million-Seed-Funding-to-Make-Web3 Capital-Development-Easier-for-Creators-and-Developers,"Polymorphic, Signature, Wolfman.One, The Graph"
NexBloc,i27v9c,Accelerator,5/1/2022,,https://www.scoop.co.nz/stories/BU2205/S00212/nexbloc-accepted-into-the-filecoin-faber-accelerator-for-building-out-deep-tech-web-3-0-solutions.htm?from-mobile=bottom-link-01,Filecoin Faber
NexGen Cloud,gw1fz5,Series A,10/1/2022,15,https://www.finsmes.com/2022/03/nexgen-cloud-raises-14m-in-funding.html,DARMA
Nextdata,3wnonl,Series A,5/1/2023,12,https://www.businesswire.com/news/home/20230928816800/en/Data-Mesh-Pioneer-Nextdata-Closes-12M-in-Seed-Funding-to-Unlock-the-AI-Revolution-by-Decentralizing-Data-at-Scale,"Acrew, Greycroft"
NFT3,z1ks7o,Seed,1/1/2022,7.5,https://www.businesswire.com/news/home/20220131005406/en/NFT3-Raises-US7.5-Million-Led-by-Animoca-Brands-Signaling-Decentralized-Identity-Technology-and-NFTs-as-Gate.ioway-to-the-Metaverse,"Animoca, Ankr, CMS, Criterion, Cypher, Digital Finance, Digital Strategies, DoublePeak, Ellipti, Genblock, LD, LVT, PromethEuropean Unions Laboratories, Shima, Signum, Tenzor, Atesis, Aussie, Automatic, Basics, Cogitent, Jsquare, Master, Matterblock, MH, Token Bay, Trevor Koverko, Unreal, Vendetta, XT Labs"
Nirvana,u2tfjc,Preseed,5/1/2023,1.2,https://twitter.com/nirvanalabsai/status/1724840469631258795,"Lattice, Varys"
NoorNation,dwfwvv,Accelerator,6/1/2023,0.02,https://www.thecatalystfund.com/insights-blog/why-we-invested-in-noornation-a-startup-providing-farmers-with-solar-energy-and-water-solutions-in-egypt,"PepsiCo, Catalyst"
Nosh,k270zx,Preseed,3/13/2023,1,,"Escape Velocity, Lattice"
NuNet,6wpm8m,Preseed,2/1/2022,2,https://ibsintelligence.com/ibsi-news/singularitydao-debut-project-on-launchpad-nunet-closes-2m-usd-sale-in-90-seconds/,"Cardano, Alphabit, Clever, Contango, Illuminati, Magnus, Moonrock, Newtribe, SMO"
Nutbox,45u6hy,Preseed,7/1/2021,,,"Metric Architecture, Waterdrip"
Nym,5gc718,Seed,5/1/2019,2.5,https://www.coindesk.com/business/2019/05/13/nym-technologies-raises-25-million-to-anonymize-crypto-apps/,"1kx, Eden Block, KR1, Lemniscap, Maven 11, NGC, Tioga"
Nym,5gc718,Series A,11/1/2021,13,https://techcrunch.com/2021/11/19/nym-raises-13m-from-a16zs-crypto-fund/,"3X, a16z, Bigcoin, Chorus One, DCG, Fenbushi, Figment, GreenfieLD, Hashkey, Huobi, Polychain, Tayssir"
Oort,apu26o,Series A,10/1/2022,15,https://cybermagazine.com/articles/enterprise-security-startup-oort-raises-15m-in-series-a-fun,".406, Energy Impact, Cisco, 645, Bain, First Star, LinkVC, Redline, Sanctor, Waterdrip, Aves Lair"
Orbofi AI,1sydts,Seed,5/1/2023,2.8,https://www.theblock.co/post/232259/leading-the-ai-revolution-in-Web3 Capital-orbofi-ai-raises-2-6m-in-high-profile-funding-round,"Cogitent, CSP, Halvings, OIG, Zephyrus"
Pano AI,111p2s,Seed,1/1/2021,8,https://techcrunch.com/2022/09/19/pano-ai/,"Climate, Referent"
Pano AI,111p2s,Series A,9/1/2022,20,https://techcrunch.com/2022/09/19/pano-ai/,"Andrew Uher, Congruent, Convective, DCVC, GoodLight, Initialized Management, Jade van Doren, January, Joseph Thomas, Kevin Mahaffey, Mark Leslie, Oleg Rogynskyy, Ozone X, Plug and Play, Quiet, Salesforce, Sytse Sijbrandi, T-Mobile, Valor, Zachary Bookman"
Pano AI,111p2s,Series A,7/1/2023,17,https://techcrunch.com/2023/07/10/pano-series-a-extension/,"5G Open Innovation Lab, Salesforce"
Petastic,g32gdz,Seed,1/1/2020,2.5,,"Tess Ventures, Blockchain Founders Fund, Warburg Serres, Tiny, Escape Velocity"
Phala,2zgyts,Seed,9/1/2020,10,https://medium.com/phala-network/phala-network-value-tops-10-million-on-new-fundraising-31a8c25f9bb9,"BiShiJie, Blue7, Dots, Incuba Alpha, IOSG, KR1, Optimista, SNZ, WAGMi, Waterdrip, Wujilian, Candaq"
Photon,0k8gq4,Preseed,1/1/2022,,,"A&T, Bitrise, Caballeros, IMO, Kernel, NGC, Signum, Timestamp, UOB"
Planetwatch,qxqpla,Preseed,5/1/2020,0.66,,"Borderless, Clever, Cognitive Blockchain, Meld, Ra.Mo, Algorand"
Planetwatch,qxqpla,Seed,1/1/2023,3.21,https://www.globenewswire.com/en/news-release/2023/01/26/2596408/0/en/PlanetWatch-Raises-3M-to-Boost-Business-Development.html,"Algorand, Algorand, Elves Long Term"
Pocket,wreq2k,Seed,1/1/2022,10,https://www.coindesk.com/business/2022/01/06/crypto-infrastructure-firm-pocket-network-raises-10m/,"Republic, RockTree, Arrington, C2, Eden Block, Zee Prime"
Pocket,wreq2k,Series A,11/1/2023,7.9,https://www.coindesk.com/business/2023/11/30/decentralized-infrastructure-provider-grove-raises-79m/,"Avon, Placeholder, Druid"
Portalverse,6uwhcg,Seed,7/1/2022,2,https://medium.com/@PORTALVERSE_NETWORK/decentralized-cloud-gaming-platform-portalverse-network-closes-multi-million-dollar-seed-funding-776b050399cb,"2Moon, Big Brain, Cogitent, Fusotao, NEAR, Octopus"
Poseiden,ovnogm,Accelerator,8/1/2019,,https://www.techinasia.com/5-blockchain-startups-longhash-raise-9m,LongHash
Proof of Play,f0g5ra,Seed,9/1/2023,32.7,https://venturebeat.com/games/proof-of-play-raises-33m-for-Web3 Capital-rpg-adds-ex-twitch-ceo-to-board-emmett-shear/,"a16z, Balaji Srinivasan, Diogo Monica, Gabby Dizon, Greenoaks, Immad Akhund, Justin Kan, Justin Waldron, Naval Ravikant, Nikil Viswanathan"
Prophetic,n08otn,Preseed,11/1/2023,1.1,https://fortune.com/2023/11/30/lucid-dream-startup-prophetic-headset-prepare-meetings-while-sleeping/,"BoxGroup, Escape Velocity, O'Shaughnessy, Scout"
ProximaX,nwrj6s,Seed,4/1/2018,33.7,https://www.globenewswire.com/en/news-release/2018/06/04/1516295/0/en/NEM-Based-Decentralized-Application-Platform-ProximaX-Lists-on-Kryptono-Exchange.html,"8 Decimal, Youbi"
PureFi,5u6ch6,Preseed,7/1/2021,,,"Infinity, Infinity, Master"
Push,nhurl1,Preseed,12/8/2020,0.75,https://medium.com/push-protocol/etherEuropean Unionm-push-notification-service-successfully-raises-750k-usd-in-seed-round-bec41eadd84d,"Ajit Tripathi, Andrew Chen, Anthony Sassano, AU21, Auryn Macmillan, Balaji Srinivasan, Ben Lakoff, Binance, Bitscale, Bixin, BR, D64, Danny Christ, Darq, DeFi Dad, DeltaHub, Evgeny Zandman, Fourth Revolution, Ganeshram Gunalan, IOSG, Kaito Kaito, Kathik Garg, Kenneth Ng, LD, Luka Sucic, Mariano Conti, MetaCartel, Momentum 6, Moonwhale, Pareen Lathia, Preethi Kasireddy, Ravindra Kumar, Sandeep Nailwal, Scott Moore, The LAO, Thomas Kaseng Ao, Travis Blane, True"
Push,nhurl1,Seed,4/1/2022,10.1,https://www.coindesk.com/business/2022/04/14/etherEuropean Unionm-push-notification-service-raises-10m-at-131m-valuation/,"A.Capital, Alpha Wave, Anton Bukov, Bison, BlackDragon, CoinDCX, GD1Ventures0, Harmony One, iSeed, Jump, MetaCartel, Mindfulness, Moonlanding, ParaFi, Polygon, Ryze Labs, Sahil Dewan, Signum, Tiger Global, TRGC, Wintermute, Woodstock, YBB, Zebpay, Zee Prime"
Pyth,5fwmoi,Preseed,7/1/2021,,,"Gate.io.io, GBV, Republic, Staking Facilities, Tagus, Two Sigma, Binance"
Quadency,8tp7y2,Preseed,2/1/2021,0.1,https://www.Bitcoin.cominsider.org/article/105546/quadency-trading-platform-gets-100000-seed-funding-dash-dash,Dash
Radicle,n2u1ny,Seed,1/1/2018,,,"BlueYard, Caballeros, Cherry, Placeholder"
Radicle,n2u1ny,Series A,2/1/2021,12,https://www.theblock.co/linked/95295/open-source-radicle-12-million-galaxy,"Balaji Srinivasan, Coinbase, CoinFund, eGirl, Electric, Fisher 8, Galaxy Digital, Giant, Hashkey, Inflection, Meltem Demirors, Naval Ravikant, NFX, Notation, ParaFi, Crypto3, Fenbushi, Warburg Serres"
RAK,v959ss,Seed,3/1/2017,1.45,,"Chuango, QM"
RAK,v959ss,Series A,4/1/2021,10,https://www.prnewswire.com/news-releases/rakwireless-closes-10m-series-a-funding-round-301276301.html,"NWS, Shunwei"
Rapidata,y47135,Seed,7/1/2023,1.69,https://www.venturekick.ch/Rapidata-raises-CHF-15-million-in-funding-round-led-by-BlueYard-pioneering-the-creation-of-a-human-brain-in-the-cloud,"Acequia, BlueYard, Venture Kick, Wingman Campus"
Raven,r3vxyu,Seed,5/1/2019,,https://medium.com/ravenprotocol/the-raven-protocol-launch-e2f70faf5bfd,"NGC, Tel Aviv, Moonchain, SEAL, Naas, Cluster"
RedStone,ap3amn,Preseed,7/1/2021,0.53,https://www.prnewswire.com/news-releases/redstone-raises-525k-in-first-round-of-funding-to-expand-its-market-leading-next-generation-decentralized-oracle-platform-301332129.html,"1kx, Arweave, Bering Waters, Collider, KR1, Maven 11"
RedStone,ap3amn,Seed,8/1/2022,7,https://www.coindesk.com/business/2022/08/29/defi-platform-redstone-raises-nearly-7m-to-improve-connectivity-between-blockchains-real-world-data/,"4 Seasons, Blockchain Capital, Coinbase, Compute, Distributed Global, Folius, Lattice, Lattice, Lemniscap, NumEuropean Unions, Permanent, SevenX, The Graph, Alex Gluchovski, Coinflip, Emin Sirer, Jacob Blish, Justin Reyes, Marco Cora, Patrick Dai, Richard Ma, Sandeep Nailwal, Stani Kulechov"
Renatus,83jvhp,Seed,5/1/2023,2,https://www.therobotreport.com/renatus-robotics-announces-2-million-in-seed-funding-for-autonomous-logistics-solutions/,"Dawn, e-LogiT"
Render,drs2bu,Series B,5/1/2010,2.5,,
Render,drs2bu,Series C,7/1/2012,25.73,,"Autodesk, Yuri Milner"
Render,drs2bu,Series D,2/1/2014,25,https://www.prnewswire.com/news-releases/cloud-graphics-pioneer-otoy-announces-series-d-round-led-by-yuri-milner-245185301.html,"Yuri Milner, Roddenberry Trust, Autodesk, John Mack, Taylor Frigon, Discovery Communications, DST, George Gilder"
Render,drs2bu,Series E,4/1/2016,38.9,,"HBO, Discovery Communications, Liberty, Disney"
Render,drs2bu,Series F,12/1/2021,30,https://www.theblock.co/post/128266/metaverse-infrastructure-startup-render-network-raises-30-million-in-token-round,"Multicoin, Alameda, Solana, Sfermion, Vinny Lingham, Bill Lee, Borderless, Digital Finance, FJ Labs, NGC, Spice, Token"
Ritual,ntppvh,Seed,11/8/2023,25,https://finance.yahoo.com/news/former-polychain-partners-raise-25-130000001.html,"Archetype, Accomplice, Robot, Escape Velocity"
RSS3,1tdy5h,Seed,12/1/2021,7.96,,"Arweave, Ateliesi, Avatar Avalanche Asia Star, Balaji Srinivasan, Coinbase, CoinShares, Continue, Dapper Labs, Dragonfly, Fabric, Formless, Fundamental Labs, Hash Global, Hashkey, Headline, Huobi, imToken, Incuba Alpha, Infinity, linker, Longling, Mai Fujimoto, Mask Network, Meteorite Labs, Rhizome, Scott Moore, SevenX, Sky9, Jiho, Winkrypto, Y2Z, Youbi"
RSS3,1tdy5h,Series A,4/1/2023,10,https://www.coindesk.com/business/2023/04/11/information-protocol-rss3-raises-10m-via-token-sale-to-dwf-labs/,DWF
Runloop,f9rhe0,Seed,11/1/2021,3,,"a16z, CNK, DCG"
Rymedi,aexn5y,Seed,8/1/2023,9,https://www.biospace.com/article/releases/rymedi-raises-9m-to-expand-impact-on-global-healthcare-infrastructure-with-advanced-blockchain-secured-data-platform/,"Blizzard, Blockchange, Catalytic Impact, ImpactAssets, RW3, White Star"
Sarcophagus,se7wj7,Seed,12/1/2021,5.47,https://decrypt.co/90032/crypto-dead-mans-switch-sarcophagus-raises-5-47m-from-vcs-via-dao,"Arweave, Blockchange, Compound, Infinite, Infinite, Inflection, Lattice, LD, Lo Enterprises, NxGen xyz, Placeholder"
SecondLive,6qvjpf,Seed,11/1/2021,,https://www.prnewswire.com/news-releases/secondlive-raises-at-30m-valuation-in-the-seed-round-to-build-social-metaverse-301414217.html,"ArkStream, Binance, BitValue, Bullet Labs, CGoogle FoF FoF, CSP, Cypher, GBV, Illuminati, LucidBlue, Multiplex, Newtribe, Old Fashion, Pow Rise, SEJO Asset, Y2Z, Yuanyuzhou"
Shadeform,d4dfm9,Preseed,9/1/2023,,,"Gravity, Kevin Moore, TransLink, Unpopular"
ShardEuropean Unionm,g65u6w,Series A,7/1/2022,18.2,https://shardEuropean Unionm.org/blog/shardEuropean Unionm-raises-18-2-million-in-seed-round-funding-from-50-investors/,"Ajeet Khurana, Balaji Srinivasan, Big Brain, Cogitent, CoinGecko, CSP, Digital Finance, Dutch Flower, Foresight, Ganesan Swaminathan, Ganesh Swami, Ghaf, Harsh Rajat, Jane Street, Jsquare, Kashif Raza, Kube, Mapleblock, Mayur Gupta, MH, Michael Montero, Nakul Gupta, Nestcoin, NetZero, Pankaj Gupta, Ravi Adusumalli, Rohan Chauhan, Spartan, Struck, Tupix, Veris, Vijay Maharajan, Wemade, Yele Bademosi, Zebpay"
ShardEuropean Unionm,g65u6w,Series A,7/1/2023,5.4,https://shardEuropean Unionm.org/blog/shardEuropean Unionm-completes-5-4-million-strategic-raise/,"Amber, Blockchain, Blue7, Contango, Criterion, CryptoViet, Galxe, Hyperithm, J17, Luganodes, Red Beard, Tane Labs, TRGC, Zephyrus"
Shibuya,rgobsb,Seed,11/1/2022,6.9,https://decrypt.co/116749/pplpleasrs-shibuya-nft-video-platform-raises-6-9m-to-build-the-a24-of-Web3 Capital,"a16z, gmjp, Joe Tsai, Kevin Durant, Stani Kulechov, Variant"
Sia,esjdj0,Seed,7/10/2019,3.5,https://www.coindesk.com/markets/2019/07/10/sia-network-raises-35-million-from-bain-capital-to-become-crypto-hulu/,"Bain, Bessemer, Dragonfly"
Siglo,7gjqft,Seed,10/1/2021,4,,"Acequia, Asymmetry, Canary, Cartography, Cristian Raygoza, Goodwater, Iluminar, Immeasurable, Integra, Lan to, Leonis, Outbound, Soma, Dupe"
SingularityNET,48m8lh,Seed,4/1/2021,2.7,https://cryptoslate.com/press-releases/singularitydao-raises-2-7m-in-private-sale-led-by-alphabit-to-usher-ai-driven-defi/,"7 O'clock, Alphabit, AU21, Clever, Cypher, DWF, GBV, Illuminati, Jun, LDA, Magnus, Moonwhale, Newtribe, Optimista, QCP, SMO, Algalon, Alpha Sigma, Ben Kalsky, David Hockley, Decentral Park, Jeff Ward, Marco Carrubba, Maximus Richardson, Mike Costache, Mike Cummings, Rebel, Zeroth.ai"
SingularityNET,48m8lh,Series A,5/1/2022,24.9,https://www.coindesk.com/business/2022/05/19/singularitynet-singularitydao-receive-25m-to-accelerate-ai-backed-defi/,"LDA, Optimista"
Sinso,tde0ef,Seed,1/1/2022,,,"AAD, AB, Angelone, Automatic, BCA, Coincu, DCT, Doble J, ICI, INV, Leland, MZ Web3 Capital, Oracles, TA, Unity, Vespertine, Yellow Spoon"
Smlxl,x6phis,Series A,7/1/2021,13.4,https://fortune.com/crypto/2023/10/24/smlxl-a16z-dor-levi-lyft-blockchains-funding-round/,"Amos Meiri, a16z, Eisar Lipkovitz, Elad Gil, Emilie Choi, Greylock, Jana Messerschmidt, Naval Ravikant, Node, Quint, Ran Makavy, Robert Leshner, Roham Gharegozlou"
Somos,ads6qy,Series A,7/1/2023,13.4,https://latamlist.com/somos-internet-raises-13-4m-seed-round/,"Daedalus, Freddy Vega, Kaszek, Matias Muchnick, Nazca, Pierpaolo Barbieri, Arrive, Envision, K50, Magic"
SONM,qjzgqy,Seed,4/1/2017,42,https://the-blockchain.com/2017/06/18/sonm-raises-42-million-token-raise/,"Aleksandr Kaplun, Algalon, Andrei Ivanouski, Bogdan Alexandrescu, Darius Griffin, Du, European Uniongene Leontovskiy, Jake Harwood, Simon Wilson, Yevgen Malyshev"
SophiaVerse,7bo0uv,Preseed,2/1/2022,,,"Newtribe, Primal"
Space & Time,heeyow,Series A,6/1/2022,20,,"Avalanche, CoinDCX, Eterna, Foresight, Framework, Hash#CIB, M12, NGC, NxGen xyz, Polygon, SevenX, Ankr, Bitscale, Bullet Labs, Chainlink Labs, Dispersion, Hashkey, Koji, Stratos Technologies"
